No,Chinese,Pinyin,English,Level
2366,与其,yǔ qí,rather than,5
2367,语气,yǔ qì,"tone, manner of speaking",5
2368,宇宙,yǔ zhòu,"universe, cosmos",5
2369,元旦,Yuán dàn,New Year's Day,5
2370,缘故,yuán gù,"reason, cause",5
2371,原料,yuán liào,raw material,5
2372,愿望,yuàn wàng,"desire, wish",5
2373,原则,yuán zé,principle,5
2374,晕,yūn,"to pass out, to faint, dizzy, faint, confused",5
2375,运气,yùn qi,"luck, fate",5
2376,运输,yùn shū,"transport, to transport",5
2377,运用,yùn yòng,"to use, to utilize",5
2378,灾害,zāi hài,"calamity, disaster",5
2379,再三,zài sān,again and again,5
2380,赞成,zàn chéng,"to approve of, to agree with",5
2381,赞美,zàn měi,"applause, praise, to praise, to admire",5
2382,造成,zào chéng,"to bring about, to create, to cause",5
2383,糟糕,zāo gāo,"terrible, bad",5
2384,则,zé,"norm, standard, to follow (rule, etc.), then Measure, for written items",5
2385,责备,zé bèi,"to blame, to criticize",5
2386,摘,zhāi,"to pick, to pluck, to take off (glasses, etc.)",5
2387,展开,zhǎn kāi,"to unfold, to carry out, to spread out",5
2388,展览,zhǎn lǎn,"exhibition, to exhibit",5
2389,粘贴,zhān tiē,"to stick, to affix, to paste",5
2390,占线,zhàn xiàn,busy (phone),5
2391,战争,zhàn zhēng,war,5
2392,涨,zhǎng,"to rise, to go up",5
2393,账户,zhàng hù,bank account,5
2394,掌握,zhǎng wò,"to grasp, to master, to control",5
2395,照常,zhào cháng,as usual,5
2396,招待,zhāo dài,"reception, to entertain (guests), to serve, to receive",5
2397,召开,zhào kāi,"to convene, to convoke, to call together",5
2398,着凉,zháo liáng,to catch a cold,5
2399,哲学,zhé xué,philosophy,5
2400,阵,zhèn,"disposition of troops, for short periods or events",5
2401,振动,zhèn dòng,"vibration, to vibrate",5
2402,诊断,zhěn duàn,"diagnosis, to diagnose",5
2403,针对,zhēn duì,"to be aimed at, to be directed against",5
2404,真理,zhēn lǐ,truth,5
2405,真实,zhēn shí,"real, true",5
2406,枕头,zhěn tou,pillow,5
2407,珍惜,zhēn xī,"to value, to cherish",5
2408,正,zhèng,"upright, honest, just, upright",5
2409,睁,zhēng,to open (the eyes),5
2410,政策,zhèng cè,policy,5
2411,政府,zhèng fǔ,government,5
2412,整个,zhěng gè,"whole, entire",5
2413,证件,zhèng jiàn,certificate,5
2414,证据,zhèng jù,"evidence, proof",5
2415,争论,zhēng lùn,"argument, debate, to argue, to debate",5
2416,挣钱,zhèng qián,to make money,5
2417,征求,zhēng qiú,"to solicit, to seek, to ask for",5
2418,争取,zhēng qǔ,"to strive for, to fight for",5
2419,整体,zhěng tǐ,whole entity,5
2420,政治,zhèng zhì,politics,5
2421,直,zhí,"to straighten, straight, direct",5
2422,支,zhī,"branch, division, to support Measure, for stick-like objects",5
2423,指导,zhǐ dǎo,"guidance, to guide, to direct",5
2424,制定,zhì dìng,"to formulate, to work out, to draw up",5
2425,制度,zhì dù,system,5
2426,智慧,zhì huì,"wisdom, intelligence, knowledge",5
2427,指挥,zhǐ huī,"conductor, to conduct, to command, to direct",5
2428,至今,zhì jīn,"until now, until today",5
2429,治疗,zhì liáo,"medical treatment, to treat, to cure",5
2430,支票,zhī piào,check (bank),5
2431,执行,zhí xíng,"to carry out, to execute",5
2432,秩序,zhì xù,"order, orderly state",5
2433,至于,zhì yú,"to go so far as to, with regard to",5
2434,志愿者,zhì yuàn zhě,volunteer,5
2435,执照,zhí zhào,license,5
2436,制作,zhì zuò,"to make, to manufacture, to produce",5
2437,重,zhòng,"heavy, serious, heavily",5
2438,钟,zhōng,"clock, bell Measure, o'clock",5
2439,中介,zhōng jiè,"agency, agent",5
2440,重量,zhòng liàng,weight,5
2441,中心,zhōng xīn,center,5
2442,中旬,zhōng xún,middle third of a month,5
2443,周到,zhōu dao,"thoughtful, considerate",5
2444,煮,zhǔ,"to cook, to boil",5
2445,逐步,zhú bù,step by step,5
2446,注册,zhù cè,to register,5
2447,主持,zhǔ chí,"to direct, to manage, to preside over",5
2448,祝福,zhù fú,"to bless, to wish well",5
2449,嘱咐,zhǔ fù,"to exhort, to enjoin, to tell",5
2450,主观,zhǔ guān,subjectiv,5
2451,主人,zhǔ rén,"host, master",5
2452,主席,zhǔ xí,chairman,5
2453,主张,zhǔ zhāng,"viewpoint, stand, to advocate, to stand for",5
2454,竹子,zhú zi,bamboo,5
2455,抓紧,zhuā jǐn,"to grasp firmly, to pay special attention to, to seize",5
2456,转变,zhuǎn biàn,"change, to change, to transform",5
2457,转告,zhuǎn gào,"to pass on (a message, etc.), to transmit",5
2458,专家,zhuān jiā,"expert, specialist",5
2459,专心,zhuān xīn,"concentration, to concentrate, concentrated, attentive",5
2460,装,zhuāng,"dress, clothing, costume, to pretend, to install, to fix, to load, to pack",5
2461,状况,zhuàng kuàng,"condition, state, situation",5
2462,装饰,zhuāng shì,"decoration, to decorate",5
2463,状态,zhuàng tài,"state, condition",5
2464,追求,zhuī qiú,"to pursue, to seek after",5
2465,紫,zǐ,purple,5
2466,自从,zì cóng,"ever since, since",5
2467,自动,zì dòng,automatic,5
2468,资格,zī gé,qualifications,5
2469,自豪,zì háo,proud,5
2470,资金,zī jīn,"funds, capital",5
2471,自觉,zì jué,"aware, conscious, on one's own initiative",5
2472,资料,zī liào,"material, data, resources, profile (IT)",5
2473,字幕,zì mù,"caption, subtitle",5
2474,姿势,zī shì,"gesture, posture, pose",5
2475,自私,zì sī,selfish,5
2476,自信,zì xìn,"(self-)confidence, (self-)confident",5
2477,咨询,zī xún,"consultation, to consult, to seek advice",5
2478,自由,zì yóu,"freedom, liberty, free",5
2479,自愿,zì yuàn,voluntary,5
2480,资源,zī yuán,resources,5
2481,总裁,zǒng cái,general director,5
2482,总共,zǒng gòng,"altogether, in total",5
2483,综合,zōng hé,"Synthese, to integrate, to sum up, synthesized, integrated",5
2484,宗教,zōng jiào,religion,5
2485,总理,zǒng lǐ,"premier, prime minister",5
2486,总算,zǒng suàn,"finally, in the end, at long last",5
2487,总统,zǒng tǒng,president (of a country),5
2488,总之,zǒng zhī,"in short, in a word",5
2489,祖国,zǔ guó,"fatherland, homeland",5
2490,组合,zǔ hé,"association, combination, to make up, to compose, to constitute",5
2491,祖先,zǔ xiān,ancestor,5
2492,阻止,zǔ zhǐ,"to prevent, to stop",5
2493,醉,zuì,"intoxicated, drunk",5
2494,最初,zuì chū,"first, initial",5
2495,罪犯,zuì fàn,criminal,5
2496,尊敬,zūn jìng,"respect, esteem, to respect, to revere",5
2497,遵守,zūn shǒu,"to abide by, to comply with",5
2498,作品,zuò pǐn,"works (literature, art)",5
2499,作为,zuò wéi,"conduct, ac, to accomplish, to act as, to take for, as",5
2500,作文,zuò wén,"composition, to write an essay",5
