No,Chinese,Pinyin,English,Level
3560,开拓,kāi tuò,"to open up, to break new ground, to exploit",6
3561,开展,kāi zhǎn,"to develop, to launch, to carry out",6
3562,开支,kāi zhī,"expenses, expenditures",6
3563,看待,kàn dài,"to look upon, to regard",6
3564,刊登,kān dēng,"to publish (in a newspaper, magazine, etc.)",6
3565,勘探,kān tàn,"exploration, to prospect for",6
3566,看望,kàn wàng,to visit,6
3567,刊物,kān wù,publication,6
3568,扛,káng,to carry on the shoulder,6
3569,慷慨,kāng kǎi,"generous, liberal, fervent",6
3570,考察,kǎo chá,"to inspect, to investigate",6
3571,考古,kǎo gǔ,archaeology,6
3572,考核,kǎo hé,"to examine, to assess, to evaluate",6
3573,靠拢,kào lǒng,"to draw close, to close up",6
3574,考验,kǎo yàn,"test, trial, to test, to try",6
3575,磕,kē,to knock,6
3576,刻不容缓,kè bù róng huǎn,to demand immediate action,6
3577,可观,kě guān,"considerable, impressive, respectable",6
3578,客户,kè hù,"client, customer",6
3579,可口,kě kǒu,"tasty, delicious",6
3580,颗粒,kē lì,"granule, kernel",6
3581,科目,kē mù,"subject, course",6
3582,课题,kè tí,"task, topic for study/discussion",6
3583,渴望,kě wàng,"to thirst for, to long for",6
3584,可恶,kě wù,"hateful, repulsive",6
3585,可笑,kě xiào,"ridiculous, laughable",6
3586,可行,kě xíng,"feasable, practicable",6
3587,啃,kěn,"to gnaw, to nibble, to bite",6
3588,恳切,kěn qiè,"earnest, sincere",6
3589,坑,kēng,"pit, hole, tunnel, to cheat, to entrap",6
3590,孔,kǒng,"hole, aperture, opening",6
3591,空白,kòng bái,"blank space, gap",6
3592,空洞,kōng dòng,"cavity, empty, hollow",6
3593,恐吓,kǒng hè,"to threaten, to frighten",6
3594,恐惧,kǒng jù,"fear, dread, phobia",6
3595,空前绝后,kōng qián jué hòu,"unmatched, unique",6
3596,空隙,kòng xì,"gap, crack",6
3597,空想,kōng xiǎng,"daydream, fantasy, phantasm, to daydream, to build castles in the air",6
3598,空虚,kōng xū,"emtiness, empty, hollow",6
3599,口气,kǒu qì,"tone, manner (of saying something)",6
3600,口腔,kǒu qiāng,oral cavity,6
3601,口头,kǒu tóu,"verbal, spoken, oral",6
3602,口音,kǒu yīn,accent,6
3603,枯竭,kū jié,"to dry up, to be exhausted (resources)",6
3604,苦尽甘来,kǔ jìn gān lái,"bitterness finishes, sweetness begins",6
3605,枯燥,kū zào,"boring, dry, dull",6
3606,挎,kuà,to carry (on/over arm),6
3607,跨,kuà,"to step across, to stride over",6
3608,快活,kuài huo,"happy, cheerful",6
3609,宽敞,kuān chang,spacious,6
3610,款待,kuǎn dài,"to entertain hospitably, to treat hospitably",6
3611,款式,kuǎn shì,"design, style, pattern",6
3612,筐,kuāng,basket,6
3613,框架,kuàng jià,"frame, framework",6
3614,旷课,kuàng kè,to skip class,6
3615,况且,kuàng qiě,"moreover, in addition",6
3616,亏待,kuī dài,to treat sbd. unfairly,6
3617,亏损,kuī sǔn,"deficit, loss, to lose, to make a loss",6
3618,捆绑,kǔn bǎng,"to bind, to bind up",6
3619,昆虫,kūn chóng,insect,6
3620,扩充,kuò chōng,"to expand, to enlarge",6
3621,扩散,kuò sàn,"spread, diffusion, to spread, to diffuse",6
3622,扩张,kuò zhāng,"expansion, to expand, to broaden",6
3623,啦,la,to end a sentence,6
3624,喇叭,lǎ ba,"horn (car, etc.), loudspeaker, trumpet",6
3625,来历,lái lì,"history, origin, source",6
3626,来源,lái yuán,"source, origin",6
3627,懒惰,lǎn duò,"lazy, idle",6
3628,栏目,lán mù,column,6
3629,狼狈,láng bèi,to be in a difficult/embarrassing situation,6
3630,朗读,lǎng dú,to read aloud,6
3631,捞,lāo,"to fish up, to dredge up",6
3632,唠叨,láo dao,"to chatter, to prattle, to nag",6
3633,牢固,láo gù,"solid, firm, secure, strong",6
3634,牢骚,láo sāo,"complaint, grievance",6
3635,乐趣,lè qù,"joy, delight, pleasure",6
3636,乐意,lè yì,"to be willing to, to be ready to",6
3637,雷达,léi dá,radar,6
3638,类似,lèi sì,"similar, analogous",6
3639,愣,lèng,"to look distracted, distracted, rashly",6
3640,冷淡,lěng dàn,"indifferent, cold, unconcerned",6
3641,冷酷,lěng kù,"grim, hardhearted, callous",6
3642,冷却,lěng què,"cooling, to cool",6
3643,理睬,lǐ cǎi,"to pay attention to, to show interest in",6
3644,立场,lì chǎng,"position, standpoint, stand",6
3645,里程碑,lǐ chéng bēi,milestone,6
3646,历代,lì dài,"through the ages, successive generations",6
3647,利害,lì hài,pros and cons,6
3648,立交桥,lì jiāo qiáo,"overpass, flyover",6
3649,礼节,lǐ jié,"etiquette, manners",6
3650,历来,lì lái,"always, throughout the history",6
3651,利率,lì lǜ,interest rates,6
3652,黎明,lí míng,"dawn, daybreak",6
3653,理所当然,lǐ suǒ dāng rán,"to go without saying, inevitable and right",6
3654,力所能及,lì suǒ néng jí,to be within one's power,6
3655,立体,lì tǐ,"solid, 3D, stereoscopic",6
3656,力图,lì tú,"to try hard to, to strive to",6
3657,例外,lì wài,"exception, to make an exception, exceptional",6
3658,力争,lì zhēng,"to work hard for, to do all one can, to strive for, to argue strongly",6
3659,理智,lǐ zhì,"reason, intellect",6
3660,理直气壮,lǐ zhí qì zhuàng,to be in the right and self-confident,6
3661,立足,lì zú,"to have a footing, to base oneself on",6
3662,联欢,lián huān,to have a get-together,6
3663,廉洁,lián jié,"integrity, honest, incorruptible",6
3664,联络,lián luò,"communication, connection, to contact, to get in touch with",6
3665,联盟,lián méng,"alliance, union, coalition",6
3666,连年,lián nián,"for a series of years, over many years",6
3667,连锁,lián suǒ,chain,6
3668,连同,lián tóng,"together with, along with",6
3669,联想,lián xiǎng,"association, to associate with sth.",6
3670,晾,liàng,to dry in the air,6
3671,谅解,liàng jiě,understanding (sb.),6
3672,良心,liáng xīn,conscience,6
3673,辽阔,liáo kuò,"vast, extensive",6
3674,列举,liè jǔ,"list, to list, to enumerate",6
3675,淋,lín,"to sprinkle, to drench, to filter",6
3676,临床,lín chuáng,clinical,6
3677,吝啬,lìn sè,"stingy, mean, miserly",6
3678,凌晨,líng chén,early in the morning,6
3679,灵感,líng gǎn,"inspiration, insight",6
3680,领会,lǐng huì,"to understand, to grasp",6
3681,灵魂,líng hún,"soul, spirit",6
3682,伶俐,líng lì,"clever, smart, witty",6
3683,灵敏,líng mǐn,"smart, sensitive, keen",6
3684,领事馆,lǐng shì guǎn,consulate,6
3685,领土,lǐng tǔ,territory,6
3686,领悟,lǐng wù,"to understand, to comprehend",6
3687,领先,lǐng xiān,"to lead, to be in front",6
3688,零星,líng xīng,"fragmentary, scattered, sporadic",6
3689,领袖,lǐng xiù,leader,6
3690,溜,liū,"to skate, to escape in stealth, to sneak off",6
3691,流浪,liú làng,"vagrant life, to roam about, to wander, to be homeless",6
3692,留恋,liú liàn,"to be reluctant to leave, to recall with nostalgia",6
3693,流露,liú lù,"to express, to reveal (feelings)",6
3694,流氓,liú máng,"hooligan, hoodlum, gangster",6
3695,留念,liú niàn,to keep as a souvenir,6
3696,留神,liú shén,"to take care, to watch out",6
3697,流通,liú tōng,"circulation, to circulate, to flow",6
3698,垄断,lǒng duàn,"monopoly , to monopolize",6
3699,聋哑,lóng yǎ,deaf and dumb,6
3700,笼罩,lǒng zhào,"to envelop, to shroud",6
3701,隆重,lóng zhòng,"ceremonious, solemn, grand",6
3702,搂,lǒu,"to hug, to embrace",6
3703,屡次,lǚ cì,repeatedly,6
3704,履行,lǚ xíng,"to carry out, to fulfill",6
3705,炉灶,lú zào,stove,6
3706,掠夺,lüè duó,"to plunder, to rob",6
3707,略微,lüè wēi,"a little bit, slightly",6
3708,轮船,lún chuán,steamship,6
3709,轮廓,lún kuò,"outline, contour, silhouette",6
3710,轮胎,lún tāi,tire,6
3711,论坛,lùn tán,forum (for discussion),6
3712,论证,lùn zhèng,"proof, to prove a point, to expound on",6
3713,落成,luò chéng,"completion of a building, to complete (building)",6
3714,落实,luò shí,"to carry out, to implement, practical, workable",6
3715,螺丝钉,luó sī dīng,screw,6
3716,啰唆,luō suo,to grumble,6
3717,络绎不绝,luò yì bù jué,continuously; in an endless stream,6
3718,嘛,ma,expressing urging,6
3719,麻痹,má bì,"paralysis, numb, lull",6
3720,麻木,má mù,"numb, insensitive",6
3721,码头,mǎ tóu,"dock, pier, wharf",6
3722,麻醉,má zuì,"anesthesia, narcosis, to anesthetize",6
3723,迈,mài,"mile, to take a step, to stride",6
3724,脉搏,mài bó,pulse,6
3725,埋伏,mái fú,"ambush, to ambush, to lurk",6
3726,埋没,mái mò,"oblivion, to cover up (with earth, etc.), to bury",6
3727,埋葬,mái zàng,to bury,6
3728,漫长,màn cháng,"very long, endless",6
3729,漫画,màn huà,"caricature, cartoon, manga",6
3730,慢性,màn xìng,chronic,6
3731,蔓延,màn yán,"to extend, to spread, to creep",6
3732,埋怨,mán yuàn,"to complain, to grumble",6
3733,忙碌,máng lù,busy,6
3734,茫茫,máng máng,"boundless, vast",6
3735,盲目,máng mù,"blind, aimless",6
3736,茫然,máng rán,"absent (mind), blank, puzzled",6
3737,冒充,mào chōng,"to feign, to pretend to be",6
3738,茂盛,mào shèng,"luxuriant, exuberant, lush",6
3739,枚,méi,"Measure, for medals, coins, rockets, etc.",6
3740,美观,měi guān,"pleasing to the eye, beautiful, artistic",6
3741,媒介,méi jiè,"media, medium",6
3742,美满,měi mǎn,"happy, blissful",6
3743,美妙,měi miào,"great, wonderful, beautiful, splendid",6
3744,媒体,méi tǐ,media,6
3745,没辙,méi zhé,to not be able to do anything about it,6
3746,门诊,mén zhěn,outpatient service,6
3747,蒙,méng,to cover,6
3748,猛烈,měng liè,"fierce, violent",6
3749,梦想,mèng xiǎng,"dream, wishful thinking, to dream of",6
3750,萌芽,méng yá,"sprout, germ, beginning (of sth.)",6
3751,眯,mī,"to narrow one's eyes, to take a nap",6
3752,弥补,mí bǔ,"to make up for, to compensate",6
3753,密度,mì dù,density,6
3754,密封,mì fēng,"to seal up, to seal airtight",6
3755,迷惑,mí huò,"to puzzle, to confuse",6
3756,弥漫,mí màn,"to pervade, to fill the air with",6
3757,迷人,mí rén,"charming, fascinating",6
3758,迷失,mí shī,"to lose the way, to get lost",6
3759,迷信,mí xìn,superstition,6
3760,免得,miǎn de,in order to avoid,6
3761,勉励,miǎn lì,to encourage,6
3762,面貌,miàn mào,"face, appearance",6
3763,勉强,miǎn qiǎng,"to do with difficulty, to force sbd. to do sth.",6
3764,免疫,miǎn yì,"immunity, immune",6
3765,面子,miàn zi,"face, prestige",6
3766,描绘,miáo huì,"to describe, to protray",6
3767,渺小,miǎo xiǎo,"tiny, insignificant",6
3768,蔑视,miè shì,"contempt, to loath, to despise",6
3769,灭亡,miè wáng,"to be destroyed, to become extinct, to perish",6
3770,敏感,mǐn gǎn,"sensitive, susceptible",6
3771,民间,mín jiān,"popular, among the people",6
3772,敏捷,mǐn jié,"quick, nimble, agile",6
3773,敏锐,mǐn ruì,"keen, sharp, acute",6
3774,民用,mín yòng,for civilian use,6
3775,名次,míng cì,"place in a competition, position in a ranking of names",6
3776,名额,míng é,quota of people,6
3777,名副其实,míng fù qí shí,to be worthy of the name,6
3778,明明,míng míng,"obviously, undoubtedly",6
3779,命名,mìng míng,to give a name to,6
3780,名誉,míng yù,"reputation, honor, fame",6
3781,膜,mó,"membrane, film",6
3782,摩擦,mó cā,"friction, rubbing, to rub against",6
3783,模范,mó fàn,"model, fine example",6
3784,魔鬼,mó guǐ,devil,6
3785,磨合,mó hé,to get familiar with,6
3786,莫名其妙,mò míng qí miào,unable to make head or tail of it,6
3787,默默,mò mò,"silently, quietly",6
3788,抹杀,mǒ shā,"to erase, to deny, to write off",6
3789,模式,mó shì,"mode, pattern",6
3790,魔术,mó shù,magic,6
3791,墨水儿,mò shuǐ r,ink,6
3792,摸索,mō suǒ,"to fumble, to feel about",6
3793,模型,mó xíng,"model, mould, matrix, pattern",6
3794,谋求,móu qiú,"to seek, to strive for",6
3795,目睹,mù dǔ,"to withness, to see with own eyes",6
3796,目光,mù guāng,"sight, view, vision",6
3797,模样,mú yàng,"look, style, appearance",6
3798,母语,mǔ yǔ,native language,6
3799,沐浴,mù yù,to take a bath,6
3800,纳闷儿,nà mèn r,"to feel puzzled, to wonder",6
3801,拿手,ná shǒu,to be good at,6
3802,耐用,nài yòng,durable,6
3803,难得,nán dé,rare,6
3804,难堪,nán kān,"embarrassed, embarrassing, humiliating",6
3805,难免,nán miǎn,"hard to avoid, unavoidable",6
3806,难能可贵,nán néng kě guì,"commendable, estimable",6
3807,恼火,nǎo huǒ,"to get angry, to be annoyed",6
3808,内涵,nèi hán,"intention, meaning",6
3809,内幕,nèi mù,"inside story, behind the scenes",6
3810,内在,nèi zài,"inherent, intrinsic",6
3811,能量,néng liàng,"energy, capacity, ability",6
3812,嗯,ńg,"expressing astonishment (""what"", ""huh"", etc.)",6
3813,拟定,nǐ dìng,"to draw up, to formulate",6
3814,年度,nián dù,year,6
3815,捏,niē,"to pinch, to knead",6
3816,拧,níng,"to twist, to wring, to pinch",6
3817,凝固,níng gù,"to solidify, to congeal",6
3818,凝聚,níng jù,"to condense, to coagulate",6
3819,宁肯,nìng kěn,"would rather, would prefer",6
3820,凝视,níng shì,"to gaze, to stare",6
3821,宁愿,nìng yuàn,"would rather, prefer to",6
3822,纽扣儿,niǔ kòu r,button,6
3823,扭转,niǔ zhuǎn,"to reverse, to turn round",6
3824,浓厚,nóng hòu,"dense, thick, strong (interest), deep",6
3825,农历,nóng lì,"traditional Chinese calendar, lunar calendar",6
3826,奴隶,nú lì,slave,6
3827,虐待,nüè dài,"mistreatment, to mistreat, to abuse",6
3828,挪,nuó,"to move, to shift",6
3829,哦,ò,oh,6
3830,殴打,ōu dǎ,"to beat up, to hit",6
3831,呕吐,ǒu tù,"to vomit, to throw up",6
3832,欧洲,Ōu zhōu,Europe,6
3833,趴,pā,to lie on the stomach,6
3834,派别,pài bié,"faction, group, school of thought",6
3835,排斥,pái chì,"to reject, to exclude, to repel",6
3836,排除,pái chú,"to eliminate, to remove, to get rid of",6
3837,排放,pái fàng,"emission, to discharge, to void",6
3838,徘徊,pái huái,"to move around, to fluctuate, to hesitate",6
3839,派遣,pài qiǎn,"to send, to dispatch",6
3840,畔,pàn,"bank, side, field-path",6
3841,攀登,pān dēng,"to climb, to clamber, to pull oneself up",6
3842,判决,pàn jué,"judgment, adjudication, to judge, to sentence",6
3843,盘旋,pán xuán,"to spiral, to circle, to hover",6
3844,庞大,páng dà,"huge, enormous",6
3845,泡沫,pào mò,"foam, bubble",6
3846,抛弃,pāo qì,"to discard, to abandon",6
3847,配备,pèi bèi,"equipment, to equip, to allocate",6
3848,配偶,pèi ǒu,"spouse, partner",6
3849,配套,pèi tào,to form a complete set,6
3850,培训,péi xùn,"training, to train, to cultivate",6
3851,培育,péi yù,"culture, to cultivate, to breed, to foster",6
3852,盆地,pén dì,"basin (geography), bowl, pan",6
3853,捧,pěng,"to hold up with both hands, to flatter",6
3854,烹饪,pēng rèn,"cooking, culinary arts, to cook",6
3855,劈,pī,"to hack, to chop, to cleave",6
3856,疲惫,pí bèi,"exhausted, tired",6
3857,批发,pī fā,"wholesale, to wholesale",6
3858,皮革,pí gé,leather,6
3859,屁股,pì gu,"buttocks, buttom",6
3860,疲倦,pí juàn,"fatigue, tired, sleepy",6
3861,批判,pī pàn,to criticize,6
3862,譬如,pì rú,"for example, for instance",6
3863,偏差,piān chā,"deviation, error",6
3864,片段,piàn duàn,"fragment, extract, episode",6
3865,偏见,piān jiàn,prejudice,6
3866,片刻,piàn kè,"moment, short period of time",6
3867,偏僻,piān pì,"remote, out-of-the-way",6
3868,偏偏,piān piān,"contrary to expectations, against one's wish",6
3869,漂浮,piāo fú,"to float, to drift, superficial, showy",6
3870,飘扬,piāo yáng,"to wave, to flutter, to fly",6
3871,拼搏,pīn bó,to work as hard as possible,6
3872,品尝,pǐn cháng,"sample, to sample, to taste",6
3873,品德,pǐn dé,moral character,6
3874,贫乏,pín fá,"poor, lacking, insufficient",6
3875,频繁,pín fán,"frequently, often",6
3876,贫困,pín kùn,"poverty, poor",6
3877,频率,pín lǜ,frequency,6
3878,拼命,pīn mìng,"with all one has, at all costs",6
3879,品行,pǐn xíng,"behaviour, moral conduct",6
3880,品质,pǐn zhì,quality,6
3881,平凡,píng fán,"common, ordinary",6
3882,评估,píng gū,"evaluation, assessment, to evaluate, to assess",6
3883,评论,píng lùn,"commentary, review, to comment on, to discuss",6
3884,平面,píng miàn,"plane, flat surface, plane surface",6
3885,平坦,píng tǎn,"flat, level, even",6
3886,平行,píng xíng,"parallel, simultaneous, at the same level",6
3887,平原,píng yuán,"plain, field",6
3888,屏障,píng zhàng,"protective screen, barrier, shield",6
3889,坡,pō,slope,6
3890,泼,pō,"to splash, to spill",6
3891,颇,pō,"very, pretty",6
3892,迫不及待,pò bù jí dài,"to be too impatient to wait, to brook no delay",6
3893,迫害,pò hài,"persecution, to persecute",6
3894,破例,pò lì,to make an exception,6
3895,魄力,pò lì,"courage, daring, boldness",6
3896,扑,pū,"to throw oneself on, to pounce",6
3897,铺,pū,"to spread, to extend, to pave, to lay",6
3898,瀑布,pù bù,waterfall,6
3899,普及,pǔ jí,"to popularize, popular, universally available",6
3900,朴实,pǔ shí,"plain, simple",6
3901,器材,qì cái,"equipment, material",6
3902,起草,qǐ cǎo,"draft, to draft, to draw up",6
3903,启程,qǐ chéng,to set out on a journey,6
3904,起初,qǐ chū,"originally, at first",6
3905,欺负,qī fu,"to bully, to intimidate",6
3906,起伏,qǐ fú,"to undulate, to move up and down",6
3907,乞丐,qǐ gài,beggar,6
3908,气概,qì gài,"mettle, spirit, lofty quality",6
3909,气功,qì gōng,qigong,6
3910,器官,qì guān,"organ, apparatus",6
3911,起哄,qǐ hòng,to create a disturbance,6
3912,迄今为止,qì jīn wéi zhǐ,"so far, up to now",6
3913,凄凉,qī liáng,"desolate, dreary, lonely",6
3914,起码,qǐ mǎ,"at the minimum, at least",6
3915,奇妙,qí miào,"wonderful, fantastic",6
3916,旗袍,qí páo,Chinese dress,6
3917,欺骗,qī piàn,"to deceive, to cheat",6
3918,气魄,qì pò,"daring, boldness, verve",6
3919,齐全,qí quán,complete,6
3920,气色,qì sè,"complexion, colour",6
3921,歧视,qí shì,"discrimination, to discriminate against",6
3922,启示,qǐ shì,"enlightenment, announcement, apocalypse",6
3923,启事,qǐ shì,"announcement, notice",6
3924,气势,qì shì,"momentum, vigor, imposing manner",6
3925,期望,qī wàng,"hope, expectation, to hope, to expect",6
3926,气味,qì wèi,"odor, scent",6
3927,期限,qī xiàn,"deadline, time limit",6
3928,气象,qì xiàng,meteorology,6
3929,齐心协力,qí xīn xié lì,"to work as one, to make concerted efforts",6
3930,气压,qì yā,atmospheric pressure,6
3931,起义,qǐ yì,"uprising, insurrection, revolt, to revolt, to uprise, to rebel",6
3932,岂有此理,qǐ yǒu cǐ lǐ,"outragious, preposterous, This is not true, is it?",6
3933,起源,qǐ yuán,"origin, source, to originate, to come from",6
3934,旗帜,qí zhì,"flag, banner",6
3935,掐,qiā,"to pick, to pinch, to clutch",6
3936,恰当,qià dàng,"suitable, appropriate, proper",6
3937,恰到好处,qià dào hǎo chù,just right,6
3938,恰巧,qià qiǎo,"fortunately, by chance",6
3939,洽谈,qià tán,"to talk over with, to negotiate with",6
3940,牵扯,qiān chě,"to implicate, to involve",6
3941,签订,qiān dìng,to conclude and sign,6
3942,千方百计,qiān fāng bǎi jì,to try every possible way,6
3943,前景,qián jǐng,"prospect, perspective, foreground",6
3944,迁就,qiān jiù,"to accommodate to, to yield, to meet halfway",6
3945,潜力,qián lì,"potential, capacity",6
3946,签署,qiān shǔ,to sign,6
3947,潜水,qián shuǐ,"diving, to dive, to go under water",6
3948,前提,qián tí,"precondition, prerequisite",6
3949,迁徙,qiān xǐ,"to move, to migrate",6
3950,谦逊,qiān xùn,"modesty, humility, modest, humble",6
3951,潜移默化,qián yí mò huà,to influence secretly,6
3952,谴责,qiǎn zé,"condemnation, to denounce, to condemn, to criticize",6
3953,牵制,qiān zhì,"to curb, to pin down, to control",6
3954,抢劫,qiǎng jié,"robbery, plunderage, to rob, to plunder",6
3955,抢救,qiǎng jiù,"to rescue, to save",6
3956,强迫,qiǎng pò,"to compel, to force",6
3957,强制,qiáng zhì,"enforcement, to enforce, to compel",6
3958,翘,qiào,"to raise, to hold up, outstanding",6
3959,桥梁,qiáo liáng,bridge,6
3960,锲而不舍,qiè ér bù shě,to keep on working with perseverance,6
3961,切实,qiè shí,"feasible, realistic, practical",6
3962,侵犯,qīn fàn,"to infringe on, to violate (law, rule, etc.)",6
3963,勤俭,qín jiǎn,hardworking and frugal,6
3964,勤恳,qín kěn,"diligent, attentive, sincere",6
3965,钦佩,qīn pèi,"to admire, to look up to",6
3966,亲热,qīn rè,"intimate, loving, affectionate",6
3967,亲身,qīn shēn,"personal, firsthand, personally",6
3968,氢,qīng,hydrogen,6
3969,情报,qíng bào,"information, intelligence",6
3970,清澈,qīng chè,"clear, limpid",6
3971,清晨,qīng chén,early morning,6
3972,清除,qīng chú,"to clear away, to eliminate, to get rid of",6
3973,轻而易举,qīng ér yì jǔ,"easy, with ease",6
3974,请柬,qǐng jiǎn,invitation card,6
3975,请教,qǐng jiào,"to consult, seek advice",6
3976,清洁,qīng jié,"clean, unpolluted",6
3977,情节,qíng jié,"story, plot, circumstances",6
3978,晴朗,qíng lǎng,"sunny, cloudless",6
3979,清理,qīng lǐ,"to clean up, to put in order, to check up",6
3980,情理,qíng lǐ,"reason, sense",6
3981,请示,qǐng shì,to ask for instructions,6
3982,请帖,qǐng tiě,invitation card,6
3983,倾听,qīng tīng,"to listen attentively, to give an ear to",6
3984,清晰,qīng xī,"clear, distinct",6
3985,倾向,qīng xiàng,"trend, tendency, to tend to, to be inclined to",6
3986,倾斜,qīng xié,"to incline, to lean, to slant",6
3987,清醒,qīng xǐng,"clear-headed, sober, awake",6
3988,情形,qíng xíng,"circumstances, situation",6
3989,清真,qīng zhēn,"Muslim, halal (food)",6
3990,丘陵,qiū líng,hill,6
3991,渠道,qú dào,"medium of communication, channel, ditch",6
3992,取缔,qǔ dì,"to ban, to prohibit",6
3993,区分,qū fēn,"to distinguish, to differentiate between",6
3994,屈服,qū fú,"to submit, to surrender, to yield",6
3995,趣味,qù wèi,"interest, delight, fun, taste",6
3996,区域,qū yù,"area, region, district",6
3997,曲折,qū zhé,"complications, winding, complicated, winding, zigzag",6
3998,驱逐,qū zhú,"to expel, to banish",6
3999,曲子,qǔ zi,"tune, melody, music",6
4000,犬,quǎn,dog,6
4001,权衡,quán héng,"to weigh, to balance, to consider",6
4002,全局,quán jú,general situation,6
4003,全力以赴,quán lì yǐ fù,"make an all-out effort, to go all out",6
4004,圈套,quān tào,"trap, snare",6
4005,拳头,quán tou,fist,6
4006,权威,quán wēi,"authority, authoritative",6
4007,权益,quán yì,rights and interest,6
4008,瘸,qué,"to be lame, to limp",6
4009,确保,què bǎo,"to assure, to guarantee",6
4010,缺口,quē kǒu,"nick, jag, gap",6
4011,确立,què lì,to establish,6
4012,确切,què qiè,"exact, definite",6
4013,缺席,quē xí,"absence, absent",6
4014,缺陷,quē xiàn,"defect, flaw",6
4015,确信,què xìn,"to be sure, to be certain of",6
4016,群众,qún zhòng,the masses (people),6
4017,染,rǎn,to dye,6
4018,让步,ràng bù,"concession, to concede, to give in",6
4019,扰乱,rǎo luàn,to disturb,6
4020,饶恕,ráo shù,"to forgive, to spare",6
4021,惹祸,rě huò,to stir up trouble,6
4022,热泪盈眶,rè lèi yíng kuàng,having one's eyes brimming with tears,6
4023,热门,rè mén,"popular, in vogue",6
4024,仁慈,rén cí,"benevolence, charity, benevolent, charitable",6
4025,人道,rén dào,"humanity, human sympathy",6
4026,认定,rèn dìng,to believe firmly,6
4027,人格,rén gé,"personality, integrity",6
4028,人工,rén gōng,"artificial, man-made",6
4029,人家,rén jia,"houshold, family, others, people, him/her, I",6
4030,人间,rén jiān,this world,6
4031,认可,rèn kě,"approval, acknowledgement, to approve, to accept",6
4032,任命,rèn mìng,"to appoint, to nominate",6
4033,忍耐,rěn nài,"to exercise patience, to restrain oneself",6
4034,人士,rén shì,"person, public figure",6
4035,忍受,rěn shòu,"to bear, to endure",6
4036,人为,rén wéi,artificial,6
4037,人性,rén xìng,"human nature, humanity",6
4038,任性,rèn xìng,"willful, headstrong, capricious",6
4039,任意,rèn yì,"arbitrary, at will, at random",6
4040,人质,rén zhì,hostage,6
4041,任重道远,rèn zhòng dào yuǎn,the burden is heavy and the road is long,6
4042,仍旧,réng jiù,"still, yet",6
4043,日新月异,rì xīn yuè yì,to change with each passing day,6
4044,日益,rì yì,"more and more each day, increasingly",6
4045,溶解,róng jiě,"solution, dissolution, to dissolve, to melt",6
4046,容貌,róng mào,"appearance, looks",6
4047,容纳,róng nà,"to contain, to have the capacity of, to hold",6
4048,容器,róng qì,"container, vessel",6
4049,融洽,róng qià,harmonious,6
4050,容忍,róng rěn,"to tolerate, to put up with",6
4051,揉,róu,"to knead, to massage, to rub",6
4052,柔和,róu hé,"soft, mild, gentle",6
4053,弱点,ruò diǎn,"weakness, weak point",6
4054,若干,ruò gān,"some, a few, a certain number",6
4055,撒谎,sā huǎng,to tell lies,6
4056,腮,sāi,cheek,6
4057,散布,sàn bù,"to scatter, to sow, to spread",6
4058,散发,sàn fā,"emission, distribution, to emit, to distribute",6
4059,三角,sān jiǎo,triangle,6
4060,散文,sǎn wén,"prose, essay",6
4061,丧失,sàng shī,"to lose, to forfeit",6
4062,嫂子,sǎo zi,wife of older brother,6
4063,色彩,sè cǎi,"colour, colouring, tint",6
4064,啥,shá,what,6
4065,刹车,shā chē,"brake, to brake (car)",6
4066,筛选,shāi xuǎn,"Screening, to sieve out, to filter",6
4067,擅长,shàn cháng,to be good at,6
4068,山脉,shān mài,mountain range,6
4069,闪烁,shǎn shuò,"to twinkle, to glimmer, to flicker",6
4070,擅自,shàn zì,"without permission, on one's own initiative",6
4071,商标,shāng biāo,"trademark, logo",6
4072,上级,shàng jí,"higher authorities, superiors",6
4073,上进心,shàng jìn xīn,desire to do better,6
4074,伤脑筋,shāng nǎo jīn,"troublesome, knotty",6
4075,上任,shàng rèn,to take office,6
4076,上瘾,shàng yǐn,"addiction, to be addicted to, to get into a habit",6
4077,上游,shàng yóu,upper reaches; advanced position,6
4078,梢,shāo,tip of a branch,6
4079,捎,shāo,"to pass on, to bring sth. to sb.",6
4080,哨,shào,"whistle, sentry",6
4081,奢侈,shē chǐ,"luxurious, extravagant",6
4082,涉及,shè jí,"involve, concern",6
4083,设立,shè lì,"to set up, to establish",6
4084,社区,shè qū,community,6
4085,摄取,shè qǔ,"to absorb, to take a photo",6
4086,摄氏度,shè shì dù,degree centigrade,6
4087,设想,shè xiǎng,"to imagine, to assume",6
4088,设置,shè zhì,"to install, to set up",6
4089,深奥,shēn ào,"deep, abstruse, profound",6
4090,申报,shēn bào,"declaration, to declare, to report, to register",6
4091,审查,shěn chá,"censorship, investigation, to censor, to inspect, to examine",6
4092,深沉,shēn chén,"deep, dull, heavy",6
4093,审理,shěn lǐ,"to try (law), to hear (a case)",6
4094,审美,shěn měi,"taste, appreciation of the beauty, esthetic",6
4095,审判,shěn pàn,"trial, put (sb) on trial",6
4096,神气,shén qì,"(facial) expression, spirited, cocky",6
4097,神奇,shén qí,"miraculous, mystical",6
4098,神情,shén qíng,"look, expression, mien",6
4099,深情厚谊,shēn qíng hòu yì,profound friendship,6
4100,神色,shén sè,"expression, look",6
4101,神圣,shén shèng,"holy, sacred",6
4102,绅士,shēn shì,gentleman,6
4103,神态,shén tài,"expression, manner",6
